latitude,longitude,obser,Ndvi,Temp,RF,pop,lulc,aspect,slope,dem
0.00000000000,0.00000000000,0,-9999,-9999.00000000000,-9999,-9999.00000000000,-9999,315.00000000000,3.62344000000,-9999
0.00000000000,0.00000000000,0,84,22.88190000000,170,187.00000000000,15,310.23600000000,3.96550000000,296
0.00000000000,0.00000000000,0,70,-9999.00000000000,-9999,340.00000000000,-9999,-9999.00000000000,-9999.00000000000,-9999
0.00000000000,0.00000000000,0,-9999,-9999.00000000000,-9999,724.00000000000,39,-9999.00000000000,-9999.00000000000,-9999
0.00000000000,0.00000000000,0,-9999,22.95930000000,269,-9999.00000000000,9,2.29061000000,5.81547000000,184
0.00000000000,0.00000000000,0,85,21.91050000000,135,215.00000000000,33,113.19900000000,1.77569000000,658
0.00000000000,0.00000000000,0,26,-9999.00000000000,-9999,-9999.00000000000,-9999,-9999.00000000000,-9999.00000000000,-9999
0.00000000000,0.00000000000,0,85,21.52540000000,146,261.00000000000,-9999,161.56500000000,2.21156000000,147
0.00000000000,0.00000000000,0,28,-9999.00000000000,-9999,-9999.00000000000,-9999,213.69000000000,3.35990000000,769
0.00000000000,0.00000000000,0,-9999,23.20360000000,311,383.00000000000,33,333.43500000000,14.29840000000,103
0.00000000000,0.00000000000,0,250,20.93400000000,215,151.00000000000,5,102.52900000000,34.04070000000,974
0.00000000000,0.00000000000,0,-9999,21.21620000000,126,-9999.00000000000,-9999,-9999.00000000000,-9999.00000000000,-9999
0.00000000000,0.00000000000,0,-9999,23.17700000000,333,-9999.00000000000,-9999,99.46230000000,2.83510000000,25
0.00000000000,0.00000000000,0,98,-9999.00000000000,-9999,-9999.00000000000,-9999,-9999.00000000000,-9999.00000000000,1049
0.00000000000,0.00000000000,0,127,20.97960000000,194,177.00000000000,1,328.41600000000,32.82610000000,545
0.00000000000,0.00000000000,0,-9999,23.63100000000,302,-9999.00000000000,5,-9999.00000000000,-9999.00000000000,-9999
0.00000000000,0.00000000000,0,98,-9999.00000000000,-9999,-9999.00000000000,33,225.00000000000,2.30765000000,566
0.00000000000,0.00000000000,0,83,21.24880000000,206,140.00000000000,8,253.44300000000,8.92995000000,833
0.00000000000,0.00000000000,0,69,21.27420000000,253,87.00000000000,-9999,-9999.00000000000,-9999.00000000000,-9999
0.00000000000,0.00000000000,0,-9999,-9999.00000000000,-9999,-9999.00000000000,33,157.06800000000,12.94420000000,172
0.00000000000,0.00000000000,0,-9999,-9999.00000000000,-9999,-9999.00000000000,33,157.06800000000,12.94420000000,172
0.00000000000,0.00000000000,0,143,22.40300000000,348,129.00000000000,5,102.89400000000,19.11670000000,419
15.58350317140,74.13786073800,1,140,23.76420000000,274,162.00000000000,9,118.30100000000,3.43953000000,52
15.53148335170,74.30285024890,1,121,22.08300000000,271,139.00000000000,5,274.14500000000,15.72800000000,706
0.00000000000,0.00000000000,0,-9999,21.71990000000,97,589.00000000000,-9999,278.13000000000,1.64876000000,617
15.03727791160,74.25069067050,1,150,22.30010000000,318,-9999.00000000000,5,27.89730000000,17.39090000000,623
15.05034525310,74.51704535630,1,150,21.11710000000,309,24.00000000000,8,116.56500000000,8.28619000000,599
0.00000000000,0.00000000000,0,145,21.86090000000,249,62.00000000000,8,344.47600000000,8.64808000000,467
0.00000000000,0.00000000000,0,-9999,-9999.00000000000,-9999,115.00000000000,-9999,-9999.00000000000,-9999.00000000000,154
0.00000000000,0.00000000000,0,83,22.02120000000,379,142.00000000000,8,135.00000000000,2.96594000000,616
0.00000000000,0.00000000000,0,-9999,-9999.00000000000,-9999,317.00000000000,-9999,251.56500000000,0.73751100000,-9999
0.00000000000,0.00000000000,0,125,21.65200000000,335,86.00000000000,5,214.50900000000,8.98286000000,598
13.58062141200,75.19446592040,1,62,21.70280000000,511,111.00000000000,8,144.46200000000,2.00554000000,621
13.55492400580,75.15788323560,1,94,21.70280000000,511,111.00000000000,1,258.69000000000,3.56320000000,652
13.54725354640,75.14991956720,1,94,21.70280000000,511,111.00000000000,8,300.96400000000,2.71792000000,630
13.53334617940,75.01090882620,1,128,-9999.00000000000,-9999,210.00000000000,5,158.62900000000,5.74117000000,204
13.55103172910,75.11643986460,1,120,21.70280000000,511,112.00000000000,20,225.00000000000,1.97827000000,650
13.55066897220,75.11703797220,1,120,21.70280000000,511,112.00000000000,20,257.00500000000,3.10868000000,650
13.51896305560,75.09037638890,1,72,21.70280000000,511,149.00000000000,5,164.47600000000,8.64808000000,653
13.51866698700,75.09050667290,1,72,21.70280000000,511,149.00000000000,5,176.18600000000,3.50192000000,647
13.50945376710,75.10177496820,1,55,21.70280000000,511,149.00000000000,5,218.66000000000,2.98416000000,653
13.51827062000,75.09009033000,1,72,21.70280000000,511,149.00000000000,5,334.65400000000,14.39940000000,657
13.51847848000,75.09064813000,1,72,21.70280000000,511,149.00000000000,5,342.40800000000,9.93113000000,652
13.50507341800,75.03652407070,1,70,22.35090000000,525,227.00000000000,5,261.87000000000,3.29480000000,94
0.00000000000,0.00000000000,0,93,19.86890000000,192,158.00000000000,8,321.84300000000,8.24780000000,745
13.48814859550,75.17440487180,1,50,22.35090000000,525,99.00000000000,5,135.00000000000,2.30765000000,645
13.48308011680,75.02949526500,1,132,-9999.00000000000,-9999,227.00000000000,8,56.30990000000,1.68139000000,84
13.40533270420,75.04480198200,1,112,22.35090000000,525,229.00000000000,5,106.60700000000,25.83910000000,276
13.34393375670,75.02621367980,1,98,-9999.00000000000,-9999,229.00000000000,8,142.12500000000,5.30337000000,87
